Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
480	-199.3693	-186.3915	-12.97779	922601.7	7.659708	0.0564568	0.0300802	0.0845205	0.234454	0.0288297	0.0148013	0.0113956	0.019087	0.272499	0.177164	0.00672825	0.0908704	0.000777365	0.053302	0.0159428	0.0177694	0.402434	0.00842597	0.491906	0.145295	0.162269	0.531452	0.134156	0.0703299	0.0169766	0.998677	0.999662	1.00034	1.00132	3.077923
490	-192.7061	-188.0426	-4.663561	780436.8	12.96659	0.0438966	0.0786268	0.0343975	0.103809	0.0679343	0.0257456	0.00478635	0.038038	0.203516	0.0931885	0.00826824	0.0227472	0.00175511	0.0495015	0.0813111	0.0217402	0.143531	0.00478018	0.327593	0.0530121	0.236534	0.224	0.115326	0.113003	0.0130311	0.998562	0.999632	1.00037	1.00144	2.110072
500	-195.3569	-186.6255	-8.731408	381521.7	9.023777	0.0297525	0.209198	0.0445332	0.156091	0.152959	0.0307031	0.00360964	0.0940677	0.292131	0.039761	0.00777861	0.0183856	0.00136528	0.0307952	0.246831	0.0254121	0.356213	0.0157729	0.15753	0.0458181	0.111893	0.327953	0.0373636	0.0675164	0.0624557	0.997943	0.999474	1.00052	1.00206	2.565891
510	-197.2673	-186.2641	-11.0032	290754.9	9.15341	0.0409385	0.057154	0.0282359	0.226623	0.206759	0.0170823	0.0226789	0.144008	0.316408	0.0929735	0.0088458	0.0310012	0.00236759	0.0360388	0.143838	0.0274962	0.165657	0.0285662	0.306468	0.0408507	0.118792	0.420333	0.0648028	0.141554	0.124396	0.997644	0.999397	1.0006	1.00236	2.813867
520	-199.6602	-187.4273	-12.23292	299898.2	8.949368	0.0662649	0.0297479	0.0187669	0.210194	0.382927	0.00876472	0.0108973	0.0526257	0.210089	0.121377	0.0158361	0.131015	0.00410705	0.0358279	0.0673583	0.0201878	0.057504	0.0398332	0.242026	0.100441	0.0871895	0.393101	0.19111	0.427501	0.0323222	0.99768	0.999406	1.00059	1.00232	2.957015
530	-209.1389	-190.3068	-18.83212	656055.4	7.058012	0.0626701	0.16012	0.0197838	0.169408	0.709172	0.00557622	0.0222335	0.0808949	0.131182	0.51836	0.0270964	0.181928	0.0188598	0.127461	0.0404942	0.0107818	0.0481626	0.105952	0.146299	0.0132769	0.0574769	0.685247	0.24743	0.302056	0.00512346	0.998431	0.999599	1.0004	1.00157	3.897046
540	-203.717	-190.7185	-12.99843	760115	10.80641	0.0427034	0.135986	0.027776	0.149768	0.222796	0.0202455	0.0152505	0.0108065	0.315433	0.26538	0.0288311	0.264944	0.0051515	0.0949596	0.0307559	0.0224256	0.107368	0.18707	0.0553168	0.00613475	0.0312545	0.685576	0.114176	0.0727532	0.0086849	0.998542	0.999627	1.00037	1.00146	2.921546
550	-196.1375	-185.4494	-10.68812	118354.7	8.488551	0.0497926	0.151156	0.0350151	0.131378	0.146395	0.00965962	0.0235496	0.0214333	0.142647	0.294731	0.0702198	0.100498	0.00291029	0.0729875	0.219488	0.0337906	0.141852	0.179917	0.0517356	0.000827303	0.0471496	0.743114	0.0256537	0.0940601	0.000760183	0.996308	0.999054	1.00094	1.0037	2.79072
560	-209.1108	-192.0261	-17.08473	341340.3	8.015017	0.0745675	0.162107	0.0753665	0.210135	0.156548	0.0154648	0.0148513	0.0430688	0.459838	0.175564	0.124319	0.158866	0.0016954	0.0389028	0.409088	0.0781553	0.0941921	0.323915	0.0619344	0.00119637	0.127913	0.621625	0.0319276	0.122425	0.0027836	0.997825	0.999443	1.00055	1.00218	3.586448
570	-198.2772	-188.4386	-9.838604	544588.2	7.972868	0.182595	0.0511747	0.126193	0.107166	0.0875151	0.0368538	0.0320073	0.0939279	0.281998	0.113995	0.0615564	0.0242967	0.00204756	0.0210483	0.230829	0.0543843	0.182386	0.112034	0.0397712	0.00984568	0.128336	0.602438	0.0268014	0.0660246	0.00585947	0.998278	0.99956	1.00044	1.00172	2.681085
