Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
300	-490.1267	-472.639	-17.48776	557188.7	11.57718	0.0334029	0.0090575	0.0305349	0.184985	0.0553195	0.0862827	0.0298749	0.128889	0.0512596	0.152212	0.180345	0.0528137	0.122724	0.013924	0.0377261	0.0978543	0.301655	0.00250905	0.0178663	0.152158	0.0458065	0.125214	0.14817	0.486716	0.0263529	0.00506622	0.0485688	0.00270801	0.075228	0.00779416	0.166766	0.0515251	0.0263683	0.0759487	0.170667	0.045923	0.126679	0.0508542	0.0431268	0.649214	0.17278	0.998298	0.999565	1.00043	1.0017	4.29287
310	-487.8633	-468.3667	-19.49652	153315.2	8.958842	0.0301827	0.0113665	0.148416	0.0456928	0.181397	0.090214	0.0120344	0.081399	0.0273536	0.26757	0.100819	0.0501442	0.11039	0.00611452	0.0301083	0.0644762	0.159715	0.00432365	0.0304365	0.183845	0.0654927	0.35051	0.0464724	0.539504	0.0329878	0.0853934	0.197106	0.00946705	0.196591	0.0159858	0.147954	0.105944	0.0739745	0.0777058	0.0855686	0.0465603	0.0603284	0.0412014	0.0347271	0.649214	0.158117	0.996756	0.999169	1.00083	1.00325	4.656803
320	-486.0569	-465.2503	-20.8066	163747.8	8.105266	0.0427462	0.0292554	0.062829	0.0562622	0.102801	0.0864296	0.0545171	0.129182	0.0246898	0.366013	0.0718722	0.0156839	0.0508626	0.00268083	0.0605783	0.062295	0.0821047	0.0265006	0.0992872	0.101634	0.0550591	0.237305	0.0989362	0.616265	0.102253	0.111847	0.080406	0.0100922	0.376909	0.0063409	0.0818776	0.030834	0.180241	0.0545822	0.142731	0.0342511	0.0273094	0.0931577	0.0589651	0.75803	0.137808	0.996861	0.999196	1.0008	1.00314	4.823426
330	-480.8914	-468.0531	-12.83832	946749.1	12.33692	0.0526697	0.039687	0.0899659	0.0538351	0.0336103	0.0579929	0.0329592	0.0705921	0.0527252	0.314457	0.0907986	0.0101469	0.0324221	0.00801428	0.0806361	0.0363724	0.100724	0.0267204	0.14392	0.0197662	0.0440471	0.0806219	0.050631	0.469801	0.179866	0.0478617	0.054149	0.017039	0.206986	0.011845	0.0398179	0.00546969	0.0582153	0.0307053	0.163817	0.0687199	0.0449882	0.030587	0.0213086	0.755182	0.120876	0.998694	0.999666	1.00033	1.00131	3.850549
340	-485.8984	-474.1823	-11.71612	420916.5	9.975677	0.0502055	0.0262051	0.0874708	0.0795581	0.0662464	0.0789449	0.0302683	0.0306866	0.0861813	0.191417	0.0629931	0.00564724	0.047407	0.0238787	0.0491902	0.0145244	0.112206	0.0406251	0.142979	0.0306596	0.0880515	0.325928	0.00510301	0.361475	0.36004	0.0786315	0.144563	0.0176971	0.101794	0.0113439	0.111499	0.00214801	0.0528305	0.0318783	0.103717	0.035572	0.0194755	0.0351046	0.00595694	0.496392	0.177171	0.998041	0.999499	1.0005	1.00196	3.823666
350	-473.6314	-463.2278	-10.40362	283075	11.17801	0.0169534	0.0305514	0.131141	0.0671483	0.0864411	0.0661135	0.0322875	0.0243102	0.0627058	0.157372	0.194005	0.0100158	0.170498	0.0324064	0.0194013	0.0169878	0.0443224	0.0230174	0.156433	0.0944726	0.13963	0.116608	0.00904951	0.504744	0.181192	0.0921433	0.0942369	0.0493442	0.12625	0.0136687	0.0304086	0.00300736	0.00537411	0.070743	0.0854881	0.0450126	0.0117315	0.0508107	0.00825589	0.440708	0.175867	0.997612	0.999389	1.00061	1.00239	3.690857
360	-486.0541	-470.7385	-15.31561	698294.8	8.964396	0.052869	0.0414694	0.19338	0.113752	0.0226012	0.164291	0.0499186	0.010582	0.082267	0.166984	0.293333	0.0209234	0.129004	0.0482982	0.0771196	0.0570136	0.0299121	0.0137615	0.143146	0.0292259	0.124926	0.0481311	0.0192239	0.505466	0.297702	0.111633	0.197079	0.0592686	0.113946	0.0234751	0.0538784	0.00498827	0.00284999	0.0252979	0.134405	0.043157	0.154511	0.010687	0.00683135	0.414628	0.0983029	0.998479	0.999611	1.00039	1.00152	4.190238
370	-483.4492	-467.1998	-16.24942	314618.8	10.06124	0.0294856	0.0453609	0.0696725	0.106889	0.0166027	0.0867488	0.052826	0.0112761	0.045091	0.183445	0.10002	0.00572149	0.182415	0.0769051	0.0246655	0.0509019	0.0513649	0.0122208	0.0215832	0.0372449	0.180476	0.0638807	0.0151753	0.992777	0.276617	0.118696	0.0333637	0.212027	0.059507	0.0946156	0.186912	0.0154914	0.00282795	0.0074349	0.0961646	0.0514731	0.31444	0.0329276	0.00703604	0.235055	0.0674846	0.997735	0.99942	1.00058	1.00227	4.274823
380	-492.0309	-478.194	-13.83695	160967	9.228168	0.0572471	0.0640484	0.0639005	0.164854	0.0136941	0.0692067	0.0474667	0.00457985	0.100529	0.0586202	0.0502996	0.00832297	0.0445902	0.0570052	0.0619893	0.0324891	0.0488285	0.0809207	0.0217715	0.024368	0.173042	0.0608402	0.0178638	0.527719	0.374556	0.0850336	0.0429677	0.249372	0.101054	0.1604	0.0735656	0.0179816	0.00286916	0.027382	0.0767563	0.0594808	0.169218	0.0080125	0.0116665	0.58228	0.136569	0.996834	0.999189	1.00081	1.00317	4.033361
390	-486.5448	-469.9459	-16.59895	104504	8.51638	0.0536649	0.0717995	0.104927	0.237372	0.102587	0.0374398	0.114339	0.00927904	0.072598	0.0751734	0.158314	0.0107132	0.0151973	0.163505	0.0558214	0.0529268	0.0337473	0.0573791	0.0286756	0.0842903	0.132352	0.0248626	0.0178675	0.537069	0.201931	0.263151	0.0622839	0.0727693	0.163732	0.0567534	0.0818901	0.0208902	0.00325005	0.0284847	0.0445866	0.109682	0.096274	0.0264411	0.00487672	0.740035	0.0961298	0.996071	0.998993	1.001	1.00393	4.32506
