Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
500	-823.9378	-804.5262	-19.41165	775336.3	7.068368	0.145862	0.126737	0.307684	0.315069	0.063999	0.0983922	0.075335	0.0396367	0.00485434	0.114544	0.0415222	0.00753476	0.0431405	0.110962	0.058165	0.357909	0.244702	0.131932	1.11159	0.0146283	0.304622	0.998557	0.999631	1.00037	1.00144	3.718815
510	-823.6116	-803.0363	-20.57521	419982.5	5.02183	0.211889	0.475098	0.525095	0.394823	0.0511799	0.0361686	0.0662908	0.0226734	0.00453223	0.0324405	0.0395479	0.00496676	0.0402138	0.117257	0.0222472	0.501282	0.385927	0.320776	0.506439	0.0251411	0.334089	0.998039	0.999498	1.0005	1.00196	4.118077
520	-817.5415	-799.0318	-18.50971	202080.2	4.520685	0.397627	0.152487	0.317112	0.340358	0.0666367	0.0377232	0.053787	0.0141221	0.00230145	0.0689735	0.0848399	0.00348801	0.0255679	0.0505146	0.0488426	0.417761	0.166446	0.239462	0.428674	0.0417413	0.693032	0.997174	0.999276	1.00072	1.00283	3.651497
530	-811.1882	-793.4956	-17.69261	173136.5	4.893933	0.473469	0.0483072	0.0748292	0.409241	0.0264788	0.140542	0.120879	0.0118215	0.000632249	0.0848041	0.0648443	0.000639658	0.0362808	0.0443919	0.0388548	0.498538	0.385523	0.197019	0.489803	0.0691796	0.315131	0.996947	0.999218	1.00078	1.00306	3.531211
540	-817.1291	-793.935	-23.19408	91898.41	5.256762	0.46931	0.0187798	0.0310124	0.660174	0.0674362	0.171283	0.0868073	0.00815331	0.000439422	0.123279	0.0526138	0.000323737	0.0621058	0.0354453	0.024191	0.779069	0.679657	0.164278	0.941254	0.0588371	0.171488	0.99581	0.998926	1.00107	1.0042	4.605936
550	-814.0679	-791.2535	-22.81445	390433.7	3.994055	0.589223	0.00692259	0.0295175	0.310804	0.0998132	0.641786	0.0799689	0.0126386	0.00129775	0.0724244	0.047508	0.000286549	0.0548499	0.0375535	0.0308124	0.257992	0.537078	0.383062	1.04644	0.0784716	0.267456	0.997966	0.99948	1.00052	1.00203	4.585901
560	-817.0507	-793.5924	-23.45825	730936	5.402351	0.502994	0.00178043	0.0431747	0.862762	0.233247	0.237593	0.122366	0.0147619	0.000328227	0.0673076	0.0425096	0.000909387	0.0223498	0.0205939	0.0374595	0.522226	0.421179	0.26176	0.723794	0.0570369	0.435378	0.998514	0.99962	1.00038	1.00149	4.631512
570	-821.3422	-794.7454	-26.59674	952819.9	4.394421	0.778158	0.00782863	0.0894402	0.52124	0.0291377	0.140278	0.0470058	0.00942193	0.000221938	0.0964694	0.0918212	0.000583642	0.00819666	0.0702036	0.0451085	0.334618	0.466921	0.276722	2.2384	0.0676749	0.147633	0.998698	0.999667	1.00033	1.0013	5.467084
580	-819.5872	-790.5772	-29.00999	359613.3	5.03029	0.515988	0.00611207	0.154528	1.4491	0.155133	0.603789	0.0764843	0.00334159	0.00154067	0.0541356	0.0502695	0.000478072	0.00354656	0.0809401	0.0809287	0.152921	0.619387	0.640156	0.964937	0.0574277	0.123492	0.997881	0.999458	1.00054	1.00212	5.79464
590	-814.8754	-791.6182	-23.25727	767547.4	4.173201	0.551061	0.00340096	0.408262	0.624198	0.16809	0.560266	0.127219	0.00310968	0.00193127	0.0648465	0.0743537	0.000882027	0.00438513	0.0397431	0.0637856	0.135853	0.363044	0.65463	0.767841	0.0192177	0.0712356	0.99855	0.999629	1.00037	1.00145	4.707354
600	-810.1879	-790.7721	-19.41572	739735.1	6.760815	0.444223	0.00108608	0.288713	0.479781	0.118596	0.585809	0.0361889	0.00516358	0.0023863	0.0570883	0.0507629	0.00158766	0.00521631	0.0811299	0.0583821	0.274854	0.27252	0.472064	0.442277	0.0647461	0.0169311	0.998522	0.999622	1.00038	1.00148	3.759507
610	-815.3401	-792.7963	-22.54376	232658.7	5.270545	0.497518	0.00149328	0.336352	0.276046	0.277735	0.355251	0.0794876	0.00112467	0.00646758	0.0685813	0.110177	0.00705949	0.0242492	0.078698	0.0633954	0.709857	0.458391	0.47234	0.577942	0.0320642	0.0461838	0.997366	0.999326	1.00067	1.00264	4.480414
620	-828.9029	-802.634	-26.26883	173982.1	3.373423	0.216025	0.00148888	0.199759	0.530074	0.125334	0.986293	0.110877	0.00123781	0.0235165	0.106625	0.0689826	0.021768	0.0486711	0.0412566	0.0824494	1.00841	0.637932	0.756221	0.415459	0.0481547	0.00857266	0.996954	0.99922	1.00078	1.00305	5.439103
630	-821.2292	-796.0751	-25.15407	122655.3	2.746815	0.199853	0.00123931	0.226084	0.781617	0.0648691	0.587995	0.0973575	0.00191885	0.0173693	0.0289574	0.0954642	0.0389165	0.0458516	0.0535141	0.0521448	0.928479	0.501707	0.6147	0.349543	0.0487476	0.012354	0.996373	0.999071	1.00092	1.00363	4.748681
640	-813.3392	-794.3295	-19.00973	491965.4	4.728243	0.551214	0.00105633	0.228511	0.276832	0.0632932	0.502963	0.076149	0.00180936	0.012278	0.0130672	0.125063	0.0347958	0.0237892	0.0238661	0.0254707	0.494683	0.521502	0.510286	0.246567	0.044808	0.00954667	0.998188	0.999537	1.00046	1.00181	3.787552
650	-814.6606	-790.6999	-23.96064	887669.6	4.353384	0.540721	0.0019196	0.102826	0.328781	0.00846495	0.635003	0.0729184	0.00283574	0.00772853	0.0644506	0.137696	0.0644612	0.00761449	0.0257989	0.0601513	0.839399	0.56311	0.631685	0.721553	0.0418906	0.0107075	0.998651	0.999655	1.00034	1.00135	4.869717
660	-815.3266	-791.9041	-23.42248	299980.6	3.460025	0.332173	0.00145373	0.254038	0.916357	0.024733	0.30521	0.072186	0.00244302	0.0097316	0.0355852	0.0822215	0.0732046	0.0127128	0.0668575	0.0499384	0.660942	0.762857	0.540758	0.378769	0.0413251	0.0056681	0.99768	0.999406	1.00059	1.00232	4.629165
670	-811.0523	-792.9851	-18.06719	557244.3	4.70025	0.409709	0.00554278	0.196019	0.339191	0.0182794	0.449834	0.101866	0.0037448	0.00466896	0.0683688	0.0627644	0.0740671	0.0384371	0.0749003	0.0248838	0.309828	0.480103	0.438701	0.46602	0.0140979	0.00321399	0.998298	0.999565	1.00043	1.0017	3.58424
680	-823.5395	-799.2288	-24.31069	934273	3.608722	0.700165	0.0518877	0.346716	0.927494	0.016864	0.338579	0.144419	0.00939284	0.00613729	0.0553344	0.132185	0.0153362	0.0466589	0.108791	0.0281356	0.523507	0.715116	0.569069	0.180163	0.00417304	0.00104363	0.998685	0.999664	1.00034	1.00132	4.921168
690	-815.856	-793.3291	-22.52698	937771.6	4.807721	0.499189	0.0612396	0.148492	0.329443	0.0103243	0.334888	0.0635352	0.00762862	0.00960159	0.04496	0.0482567	0.00838969	0.0501759	0.119348	0.0259643	0.437231	0.403227	1.47158	0.437732	0.0134124	0.0014043	0.998688	0.999664	1.00033	1.00131	4.526027
700	-818.5867	-795.0919	-23.49489	713004.1	2.590639	0.396721	0.205292	0.113826	0.191241	0.0112997	0.613563	0.0960372	0.0126557	0.00221608	0.0309441	0.038972	0.0324821	0.0263059	0.0885889	0.0230768	0.458705	0.429955	0.609534	0.530353	0.0172971	0.00298123	0.998495	0.999615	1.00038	1.00151	3.932048
