Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
360	-407.9858	-396.0116	-11.9742	60515.32	7.528084	0.196026	0.0217277	0.0815651	0.194195	0.0313323	0.085004	0.0762382	0.0308581	0.0191574	0.00143371	0.0291403	0.159631	0.0323176	0.0999933	0.0377442	0.053897	0.0382292	0.0075887	0.0808937	0.0169494	0.121259	0.0851605	0.0787205	0.238035	0.126576	0.241141	0.334034	0.0740927	0.208792	0.0110827	0.106612	0.266684	0.174241	0.994838	0.998676	1.00132	1.00517	3.360353
370	-399.3098	-396.265	-3.044877	45180.32	12.56774	0.195349	0.00866231	0.0628813	0.115051	0.0280656	0.145348	0.0675437	0.0172133	0.0106273	0.000552267	0.0462992	0.0489504	0.140684	0.175082	0.174987	0.0459571	0.0130522	0.00360492	0.0616201	0.0105319	0.0254617	0.0400292	0.0605616	0.312607	0.112042	0.0933246	0.140485	0.0740208	0.0982014	0.00179212	0.0813721	0.0636942	0.0921921	0.994026	0.998466	1.00152	1.00599	2.567846
380	-402.0156	-391.9316	-10.08399	57496.18	9.337971	0.215749	0.00285257	0.149532	0.0858078	0.0190438	0.219356	0.0662738	0.0113855	0.0125609	0.00131585	0.0335901	0.0370788	0.110121	0.290488	0.105902	0.127502	0.0367777	0.00324506	0.110792	0.0423151	0.0649038	0.0325293	0.0454353	0.181755	0.211613	0.140762	0.154327	0.0461708	0.130713	0.00666583	0.116844	0.359095	0.0567459	0.994704	0.998641	1.00135	1.00531	3.229249
390	-401.8061	-392.3397	-9.466353	61966.8	9.313608	0.194193	0.0159063	0.293636	0.0568082	0.0270077	0.218189	0.0641223	0.0143829	0.00606228	0.000910937	0.030265	0.0375248	0.0566475	0.14539	0.113233	0.0617059	0.113557	0.00561495	0.0179433	0.0421492	0.0521592	0.0371171	0.0326613	0.253015	0.209222	0.185269	0.217055	0.0667101	0.0968388	0.00159573	0.171531	0.242178	0.0820446	0.994898	0.998691	1.0013	1.00511	3.162647
400	-402.3037	-392.9802	-9.323487	655519.3	12.36305	0.322734	0.00861059	0.0292472	0.0578062	0.0228786	0.125179	0.0265779	0.010972	0.0101466	0.000550152	0.0539091	0.0456632	0.0703029	0.225765	0.163024	0.0620683	0.0409724	0.00182421	0.0528406	0.0307173	0.0260233	0.0166366	0.0342559	0.54592	0.15558	0.112146	0.2103	0.0795926	0.0512376	0.00419893	0.114026	0.300042	0.0659466	0.99843	0.999599	1.0004	1.00157	3.077693
410	-399.8602	-393.37	-6.490172	650963.6	7.983062	0.225789	0.00321599	0.0226821	0.0621691	0.0685381	0.119822	0.00984546	0.00870978	0.0251288	0.00115261	0.011058	0.0659212	0.0634589	0.123167	0.0787142	0.050726	0.0352436	0.000643229	0.0535541	0.092622	0.0381958	0.028322	0.0448113	0.336901	0.0753517	0.0230175	0.250192	0.0521705	0.117517	0.00492542	0.250809	0.317431	0.0512489	0.998425	0.999597	1.0004	1.00158	2.713054
420	-400.2878	-395.8308	-4.45703	189381.7	13.02907	0.197236	0.00415321	0.0715486	0.0161169	0.0370869	0.0533919	0.0060339	0.0170248	0.0564874	0.00540895	0.0107355	0.044538	0.195891	0.154251	0.0744529	0.0253614	0.0417723	0.000591756	0.0434844	0.0626627	0.0367483	0.0599503	0.0536511	0.336901	0.0699856	0.0161564	0.300459	0.0439078	0.191053	0.00799796	0.176758	0.209533	0.048203	0.997081	0.999252	1.00074	1.00292	2.669534
430	-399.3891	-393.1354	-6.253656	374630	10.72138	0.190653	0.00813179	0.121231	0.117599	0.03338	0.0663071	0.00265344	0.0555442	0.0835619	0.00369436	0.0059594	0.0484203	0.0670937	0.321752	0.0792538	0.00609967	0.0642394	0.000836281	0.0685102	0.0612403	0.0711638	0.30377	0.0138724	0.407416	0.0491241	0.0352213	0.158597	0.0376698	0.0996754	0.00759854	0.0305453	0.170156	0.063754	0.997924	0.999469	1.00053	1.00208	2.854725
440	-401.5051	-395.4272	-6.077948	235934.2	11.38627	0.25118	0.0088397	0.116156	0.0848494	0.0154748	0.308462	0.00138293	0.0538618	0.131297	0.007284	0.00775236	0.0231978	0.0841885	0.106259	0.0850284	0.00453546	0.066051	0.00173376	0.11645	0.0865172	0.104005	0.132321	0.00641353	0.336504	0.0240969	0.0281772	0.192552	0.0383506	0.103974	0.023523	0.0466298	0.0773826	0.160866	0.997384	0.99933	1.00067	1.00262	2.835297
450	-405.8112	-395.4886	-10.32261	838796.1	6.414057	0.171118	0.00865056	0.1437	0.0171918	0.129767	0.330355	0.00109672	0.0157208	0.165577	0.0201357	0.00632776	0.0162822	0.0828074	0.0671866	0.0868371	0.0252008	0.0451487	0.00141823	0.121802	0.0642343	0.112143	0.214675	0.00705923	0.42162	0.0448765	0.029427	0.107493	0.018877	0.138352	0.00900389	0.0162885	0.162119	0.0947909	0.998612	0.999645	1.00035	1.00139	2.897282
