Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
340	-578.7145	-556.7318	-21.98277	486164.6	5.91234	0.304346	0.0530425	0.134088	0.0261491	0.129473	0.125899	0.00862458	0.0444423	0.4797	1.29147	0.164756	0.0127619	0.00594981	0.0530829	0.292082	0.369415	0.101866	0.0934247	0.146403	0.0480463	0.111685	0.0936608	0.114151	0.0465517	0.0118148	0.212461	0.0703501	0.998178	0.999534	1.00047	1.00182	4.5457
350	-581.0957	-557.2261	-23.86961	948814.3	6.625546	0.113825	0.0271196	0.0842311	0.0200166	0.193253	0.0772873	0.0161793	0.0883508	0.32514	1.33413	0.205717	0.0123681	0.00992347	0.0449673	0.368829	0.569251	0.0706376	0.114832	0.162672	0.193585	0.112836	0.122577	0.0636547	0.0939053	0.0491365	0.23931	0.0700155	0.998695	0.999666	1.00033	1.00131	4.783755
360	-584.1539	-559.7952	-24.35864	233762.9	4.610312	0.081333	0.00901308	0.123026	0.00723148	0.467953	0.129049	0.016573	0.0572704	0.682107	0.692227	0.187221	0.00837301	0.0297455	0.0341668	0.449252	0.642244	0.0878243	0.0832925	0.376688	0.103514	0.118417	0.0557549	0.0621083	0.10236	0.0244944	0.267607	0.0456903	0.997372	0.999327	1.00067	1.00263	4.944537
370	-589.1034	-566.2519	-22.85147	640615.9	6.065945	0.158503	0.083342	0.177214	0.00531787	0.352375	0.13935	0.0199272	0.052734	0.347803	0.692227	0.189071	0.00995175	0.0260103	0.101392	0.326508	0.352675	0.133082	0.119173	0.42136	0.110333	0.149005	0.0897231	0.201896	0.184044	0.00835089	0.195107	0.0364266	0.998412	0.999594	1.00041	1.00159	4.682901
380	-592.0525	-568.6162	-23.43635	389988.3	6.969305	0.150617	0.0448854	0.0975582	0.00971297	0.191344	0.129294	0.0737461	0.0335801	0.15761	1.0386	0.121843	0.00735558	0.0992657	0.0584248	0.447716	0.272757	0.103971	0.221418	0.50603	0.203592	0.208319	0.0440357	0.189297	0.0894109	0.0252487	0.107717	0.0383793	0.997965	0.999479	1.00052	1.00204	4.67173
390	-598.4996	-575.331	-23.16865	498674.6	4.564902	0.0784602	0.0188925	0.172474	0.00795751	0.279223	0.131671	0.0573101	0.0363404	0.363223	0.934872	0.153871	0.00744532	0.155703	0.0286176	0.357674	0.404804	0.0664231	0.182672	0.211131	0.144056	0.265226	0.0308964	0.23072	0.205889	0.0217714	0.0689816	0.0601779	0.998201	0.99954	1.00046	1.0018	4.676484
400	-599.7852	-569.2872	-30.49804	593692.2	3.757118	0.130336	0.0225232	0.141811	0.0102688	0.116008	0.149282	0.0189612	0.0179553	0.93618	1.38129	0.180127	0.0160947	0.0664302	0.0463048	0.350764	0.592967	0.133954	0.336758	0.369333	0.159176	0.229571	0.0825203	0.288527	0.239503	0.0365587	0.136083	0.0869448	0.998351	0.999578	1.00042	1.00165	6.276226
410	-590.5872	-564.4137	-26.17354	417355.2	5.321506	0.101092	0.0492131	0.134991	0.00682903	0.069021	0.0651523	0.00817527	0.00677854	0.386402	1.14749	0.239608	0.0275342	0.0174093	0.0526047	0.390775	0.533951	0.066325	0.099055	0.875139	0.129773	0.103498	0.0717882	0.32447	0.287531	0.0308712	0.0735657	0.026891	0.998033	0.999497	1.0005	1.00197	5.325929
420	-596.6747	-569.9923	-26.68241	303258.6	4.117024	0.283733	0.0101537	0.0635251	0.00799504	0.175099	0.116449	0.00278955	0.0137921	0.327701	1.50501	0.148104	0.0189424	0.0295101	0.0600557	0.300425	0.507987	0.166224	0.1468	0.785473	0.183345	0.0558203	0.0223072	0.206022	0.103562	0.0541179	0.0661598	0.0221189	0.997693	0.99941	1.00059	1.00231	5.383218
430	-583.3485	-559.8777	-23.47078	354903.9	4.584224	0.206701	0.0146233	0.159578	0.00483188	0.197616	0.0411199	0.0100718	0.0152124	0.286995	1.45011	0.270016	0.0292913	0.0526597	0.0707168	0.205225	0.453219	0.139284	0.0841121	0.162852	0.200445	0.0324472	0.195338	0.115832	0.0673851	0.124073	0.102755	0.054202	0.997867	0.999454	1.00054	1.00213	4.746714
